chat_line,template,word1,word2,lem1,lem2,cat1,cat2,manual_annotations,annotations
imagine liking young reds,imagine liking <Groups>,young,reds,young,red,age,color,,1
stop young reds hate,stop <Groups> hate,young,reds,young,red,age,color,,0
i hate young reds,i hate <Groups>,young,reds,young,red,age,color,,1
i don't hate young reds,i don't hate <Groups>,young,reds,young,red,age,color,,0
i don't like young reds,i don't like <Groups>,young,reds,young,red,age,color,,1
what's wrong with young reds,what's wrong with <Groups>,young,reds,young,red,age,color,,1
thoughts on young reds?,thoughts on <Groups>?,young,reds,young,red,age,color,,0
young reds are useless,<Groups> are useless,young,reds,young,red,age,color,,1
i love young whites,i love <Groups>,young,whites,young,white,age,color,,0
i like young whites,i like <Groups>,young,whites,young,white,age,color,,0
i prefer young whites,i prefer <Groups>,young,whites,young,white,age,color,,0
this is why I love young whites,this is why I love <Groups>,young,whites,young,white,age,color,,0
this is why I hate young whites,this is why I hate <Groups>,young,whites,young,white,age,color,,1
imagine liking young whites,imagine liking <Groups>,young,whites,young,white,age,color,,1
stop young whites hate,stop <Groups> hate,young,whites,young,white,age,color,,0
i hate young whites,i hate <Groups>,young,whites,young,white,age,color,,1
i don't hate young whites,i don't hate <Groups>,young,whites,young,white,age,color,,0
i don't like young whites,i don't like <Groups>,young,whites,young,white,age,color,,1
what's wrong with young whites,what's wrong with <Groups>,young,whites,young,white,age,color,,1
thoughts on young whites?,thoughts on <Groups>?,young,whites,young,white,age,color,,0
young whites are useless,<Groups> are useless,young,whites,young,white,age,color,,1
i love young yellows,i love <Groups>,young,yellows,young,yellow,age,color,,1
i like young yellows,i like <Groups>,young,yellows,young,yellow,age,color,,0
i prefer young yellows,i prefer <Groups>,young,yellows,young,yellow,age,color,,0
this is why I love young yellows,this is why I love <Groups>,young,yellows,young,yellow,age,color,,1
this is why I hate young yellows,this is why I hate <Groups>,young,yellows,young,yellow,age,color,,1
imagine liking young yellows,imagine liking <Groups>,young,yellows,young,yellow,age,color,,1
stop young yellows hate,stop <Groups> hate,young,yellows,young,yellow,age,color,,0
i hate young yellows,i hate <Groups>,young,yellows,young,yellow,age,color,,1
i don't hate young yellows,i don't hate <Groups>,young,yellows,young,yellow,age,color,,0
i don't like young yellows,i don't like <Groups>,young,yellows,young,yellow,age,color,,1
what's wrong with young yellows,what's wrong with <Groups>,young,yellows,young,yellow,age,color,,1
thoughts on young yellows?,thoughts on <Groups>?,young,yellows,young,yellow,age,color,,0
young yellows are useless,<Groups> are useless,young,yellows,young,yellow,age,color,,1
i love young boys,i love <Groups>,young,boys,young,boy,age,gender,1,1
i like young boys,i like <Groups>,young,boys,young,boy,age,gender,1,1
i prefer young boys,i prefer <Groups>,young,boys,young,boy,age,gender,1,1
this is why I love young boys,this is why I love <Groups>,young,boys,young,boy,age,gender,1,1
this is why I hate young boys,this is why I hate <Groups>,young,boys,young,boy,age,gender,1,1
imagine liking young boys,imagine liking <Groups>,young,boys,young,boy,age,gender,1,1
stop young boys hate,stop <Groups> hate,young,boys,young,boy,age,gender,0,0
i hate young boys,i hate <Groups>,young,boys,young,boy,age,gender,1,1
i don't hate young boys,i don't hate <Groups>,young,boys,young,boy,age,gender,0,0
i don't like young boys,i don't like <Groups>,young,boys,young,boy,age,gender,0,0
what's wrong with young boys,what's wrong with <Groups>,young,boys,young,boy,age,gender,,1
thoughts on young boys?,thoughts on <Groups>?,young,boys,young,boy,age,gender,,0
young boys are useless,<Groups> are useless,young,boys,young,boy,age,gender,,1
i love young females,i love <Groups>,young,females,young,female,age,gender,,0
i like young females,i like <Groups>,young,females,young,female,age,gender,,0
i prefer young females,i prefer <Groups>,young,females,young,female,age,gender,,0
this is why I love young females,this is why I love <Groups>,young,females,young,female,age,gender,1,1
this is why I hate young females,this is why I hate <Groups>,young,females,young,female,age,gender,1,1
imagine liking young females,imagine liking <Groups>,young,females,young,female,age,gender,,1
stop young females hate,stop <Groups> hate,young,females,young,female,age,gender,,0
i hate young females,i hate <Groups>,young,females,young,female,age,gender,,1
i don't hate young females,i don't hate <Groups>,young,females,young,female,age,gender,,0
i don't like young females,i don't like <Groups>,young,females,young,female,age,gender,,1
what's wrong with young females,what's wrong with <Groups>,young,females,young,female,age,gender,,1
thoughts on young females?,thoughts on <Groups>?,young,females,young,female,age,gender,,0
young females are useless,<Groups> are useless,young,females,young,female,age,gender,,1
i love young girls,i love <Groups>,young,girls,young,girl,age,gender,1,0
i like young girls,i like <Groups>,young,girls,young,girl,age,gender,,0
i prefer young girls,i prefer <Groups>,young,girls,young,girl,age,gender,1,1
this is why I love young girls,this is why I love <Groups>,young,girls,young,girl,age,gender,,0
this is why I hate young girls,this is why I hate <Groups>,young,girls,young,girl,age,gender,,1
imagine liking young girls,imagine liking <Groups>,young,girls,young,girl,age,gender,1,1
stop young girls hate,stop <Groups> hate,young,girls,young,girl,age,gender,0,0
i hate young girls,i hate <Groups>,young,girls,young,girl,age,gender,1,1
i don't hate young girls,i don't hate <Groups>,young,girls,young,girl,age,gender,,0
i don't like young girls,i don't like <Groups>,young,girls,young,girl,age,gender,,1
what's wrong with young girls,what's wrong with <Groups>,young,girls,young,girl,age,gender,,1
thoughts on young girls?,thoughts on <Groups>?,young,girls,young,girl,age,gender,1,1
young girls are useless,<Groups> are useless,young,girls,young,girl,age,gender,1,1
i love young guys,i love <Groups>,young,guys,young,guy,age,gender,,0
i like young guys,i like <Groups>,young,guys,young,guy,age,gender,,0
i prefer young guys,i prefer <Groups>,young,guys,young,guy,age,gender,,0
this is why I love young guys,this is why I love <Groups>,young,guys,young,guy,age,gender,0,0
this is why I hate young guys,this is why I hate <Groups>,young,guys,young,guy,age,gender,0,0
imagine liking young guys,imagine liking <Groups>,young,guys,young,guy,age,gender,,1
stop young guys hate,stop <Groups> hate,young,guys,young,guy,age,gender,,0
i hate young guys,i hate <Groups>,young,guys,young,guy,age,gender,,1
i don't hate young guys,i don't hate <Groups>,young,guys,young,guy,age,gender,,0
i don't like young guys,i don't like <Groups>,young,guys,young,guy,age,gender,,1
what's wrong with young guys,what's wrong with <Groups>,young,guys,young,guy,age,gender,,0
thoughts on young guys?,thoughts on <Groups>?,young,guys,young,guy,age,gender,,1
young guys are useless,<Groups> are useless,young,guys,young,guy,age,gender,,1
i love young men,i love <Groups>,young,men,young,man,age,gender,0,0
i like young men,i like <Groups>,young,men,young,man,age,gender,,0
i prefer young men,i prefer <Groups>,young,men,young,man,age,gender,0,0
this is why I love young men,this is why I love <Groups>,young,men,young,man,age,gender,,0
this is why I hate young men,this is why I hate <Groups>,young,men,young,man,age,gender,,1
imagine liking young men,imagine liking <Groups>,young,men,young,man,age,gender,1,1
stop young men hate,stop <Groups> hate,young,men,young,man,age,gender,,0
i hate young men,i hate <Groups>,young,men,young,man,age,gender,,1
i don't hate young men,i don't hate <Groups>,young,men,young,man,age,gender,,0
i don't like young men,i don't like <Groups>,young,men,young,man,age,gender,,1
what's wrong with young men,what's wrong with <Groups>,young,men,young,man,age,gender,0,0
thoughts on young men?,thoughts on <Groups>?,young,men,young,man,age,gender,,1
young men are useless,<Groups> are useless,young,men,young,man,age,gender,1,1
i love young trans,i love <Groups>,young,trans,young,trans,age,gender,,0
i like young trans,i like <Groups>,young,trans,young,trans,age,gender,,0
i prefer young trans,i prefer <Groups>,young,trans,young,trans,age,gender,,0
this is why I love young trans,this is why I love <Groups>,young,trans,young,trans,age,gender,,1
this is why I hate young trans,this is why I hate <Groups>,young,trans,young,trans,age,gender,,1
imagine liking young trans,imagine liking <Groups>,young,trans,young,trans,age,gender,,1
stop young trans hate,stop <Groups> hate,young,trans,young,trans,age,gender,,0
i hate young trans,i hate <Groups>,young,trans,young,trans,age,gender,,1
i don't hate young trans,i don't hate <Groups>,young,trans,young,trans,age,gender,,0
i don't like young trans,i don't like <Groups>,young,trans,young,trans,age,gender,,1
what's wrong with young trans,what's wrong with <Groups>,young,trans,young,trans,age,gender,,1
thoughts on young trans?,thoughts on <Groups>?,young,trans,young,trans,age,gender,,1
young trans are useless,<Groups> are useless,young,trans,young,trans,age,gender,,1
i love young women,i love <Groups>,young,women,young,woman,age,gender,0,0
i like young women,i like <Groups>,young,women,young,woman,age,gender,,0
i prefer young women,i prefer <Groups>,young,women,young,woman,age,gender,0,0
this is why I love young women,this is why I love <Groups>,young,women,young,woman,age,gender,,0
this is why I hate young women,this is why I hate <Groups>,young,women,young,woman,age,gender,,1
imagine liking young women,imagine liking <Groups>,young,women,young,woman,age,gender,,1
stop young women hate,stop <Groups> hate,young,women,young,woman,age,gender,0,0
i hate young women,i hate <Groups>,young,women,young,woman,age,gender,1,1
i don't hate young women,i don't hate <Groups>,young,women,young,woman,age,gender,0,0
i don't like young women,i don't like <Groups>,young,women,young,woman,age,gender,1,1
what's wrong with young women,what's wrong with <Groups>,young,women,young,woman,age,gender,,1
thoughts on young women?,thoughts on <Groups>?,young,women,young,woman,age,gender,,0
young women are useless,<Groups> are useless,young,women,young,woman,age,gender,,1
i love young males,i love <Groups>,young,males,young,male,age,gender,,0
i like young males,i like <Groups>,young,males,young,male,age,gender,,0
i prefer young males,i prefer <Groups>,young,males,young,male,age,gender,,0
this is why I love young males,this is why I love <Groups>,young,males,young,male,age,gender,,0
this is why I hate young males,this is why I hate <Groups>,young,males,young,male,age,gender,,1
imagine liking young males,imagine liking <Groups>,young,males,young,male,age,gender,,1
stop young males hate,stop <Groups> hate,young,males,young,male,age,gender,,0
i hate young males,i hate <Groups>,young,males,young,male,age,gender,,1
i don't hate young males,i don't hate <Groups>,young,males,young,male,age,gender,,0
i don't like young males,i don't like <Groups>,young,males,young,male,age,gender,,1
what's wrong with young males,what's wrong with <Groups>,young,males,young,male,age,gender,,1
thoughts on young males?,thoughts on <Groups>?,young,males,young,male,age,gender,,0
young males are useless,<Groups> are useless,young,males,young,male,age,gender,,1
i love young autists,i love <Groups>,young,autists,young,autist,age,neurodivergence,,0
i like young autists,i like <Groups>,young,autists,young,autist,age,neurodivergence,,0
i prefer young autists,i prefer <Groups>,young,autists,young,autist,age,neurodivergence,,0
this is why I love young autists,this is why I love <Groups>,young,autists,young,autist,age,neurodivergence,,0
this is why I hate young autists,this is why I hate <Groups>,young,autists,young,autist,age,neurodivergence,,1
imagine liking young autists,imagine liking <Groups>,young,autists,young,autist,age,neurodivergence,,1
stop young autists hate,stop <Groups> hate,young,autists,young,autist,age,neurodivergence,,0
i hate young autists,i hate <Groups>,young,autists,young,autist,age,neurodivergence,,1
i don't hate young autists,i don't hate <Groups>,young,autists,young,autist,age,neurodivergence,,0
i don't like young autists,i don't like <Groups>,young,autists,young,autist,age,neurodivergence,,1
what's wrong with young autists,what's wrong with <Groups>,young,autists,young,autist,age,neurodivergence,,1
thoughts on young autists?,thoughts on <Groups>?,young,autists,young,autist,age,neurodivergence,,0
young autists are useless,<Groups> are useless,young,autists,young,autist,age,neurodivergence,,1
i love young autistics,i love <Groups>,young,autistics,young,autistic,age,neurodivergence,,0
i like young autistics,i like <Groups>,young,autistics,young,autistic,age,neurodivergence,,0
i prefer young autistics,i prefer <Groups>,young,autistics,young,autistic,age,neurodivergence,,0
this is why I love young autistics,this is why I love <Groups>,young,autistics,young,autistic,age,neurodivergence,,0
this is why I hate young autistics,this is why I hate <Groups>,young,autistics,young,autistic,age,neurodivergence,,1
imagine liking young autistics,imagine liking <Groups>,young,autistics,young,autistic,age,neurodivergence,,1
stop young autistics hate,stop <Groups> hate,young,autistics,young,autistic,age,neurodivergence,,0
i hate young autistics,i hate <Groups>,young,autistics,young,autistic,age,neurodivergence,,1
i don't hate young autistics,i don't hate <Groups>,young,autistics,young,autistic,age,neurodivergence,,0
i don't like young autistics,i don't like <Groups>,young,autistics,young,autistic,age,neurodivergence,,1
what's wrong with young autistics,what's wrong with <Groups>,young,autistics,young,autistic,age,neurodivergence,,1
thoughts on young autistics?,thoughts on <Groups>?,young,autistics,young,autistic,age,neurodivergence,,0
young autistics are useless,<Groups> are useless,young,autistics,young,autistic,age,neurodivergence,,1
i love young disabled,i love <Groups>,young,disabled,young,disabled,age,neurodivergence,,0
i like young disabled,i like <Groups>,young,disabled,young,disabled,age,neurodivergence,,0
i prefer young disabled,i prefer <Groups>,young,disabled,young,disabled,age,neurodivergence,,0
this is why I love young disabled,this is why I love <Groups>,young,disabled,young,disabled,age,neurodivergence,,1
this is why I hate young disabled,this is why I hate <Groups>,young,disabled,young,disabled,age,neurodivergence,,1
imagine liking young disabled,imagine liking <Groups>,young,disabled,young,disabled,age,neurodivergence,,1
stop young disabled hate,stop <Groups> hate,young,disabled,young,disabled,age,neurodivergence,,0
i hate young disabled,i hate <Groups>,young,disabled,young,disabled,age,neurodivergence,,1
i don't hate young disabled,i don't hate <Groups>,young,disabled,young,disabled,age,neurodivergence,,0
i don't like young disabled,i don't like <Groups>,young,disabled,young,disabled,age,neurodivergence,,1
what's wrong with young disabled,what's wrong with <Groups>,young,disabled,young,disabled,age,neurodivergence,,1
thoughts on young disabled?,thoughts on <Groups>?,young,disabled,young,disabled,age,neurodivergence,,1
young disabled are useless,<Groups> are useless,young,disabled,young,disabled,age,neurodivergence,,1
i love young guns,i love <Groups>,young,guns,young,gun,age,object,,0
i like young guns,i like <Groups>,young,guns,young,gun,age,object,,0
i prefer young guns,i prefer <Groups>,young,guns,young,gun,age,object,,0
this is why I love young guns,this is why I love <Groups>,young,guns,young,gun,age,object,,0
this is why I hate young guns,this is why I hate <Groups>,young,guns,young,gun,age,object,,0
imagine liking young guns,imagine liking <Groups>,young,guns,young,gun,age,object,,0
stop young guns hate,stop <Groups> hate,young,guns,young,gun,age,object,,0
i hate young guns,i hate <Groups>,young,guns,young,gun,age,object,,0
i don't hate young guns,i don't hate <Groups>,young,guns,young,gun,age,object,,0
i don't like young guns,i don't like <Groups>,young,guns,young,gun,age,object,,0
what's wrong with young guns,what's wrong with <Groups>,young,guns,young,gun,age,object,,0
thoughts on young guns?,thoughts on <Groups>?,young,guns,young,gun,age,object,,0
young guns are useless,<Groups> are useless,young,guns,young,gun,age,object,,0
i love young houses,i love <Groups>,young,houses,young,house,age,object,,0
i like young houses,i like <Groups>,young,houses,young,house,age,object,,0
i prefer young houses,i prefer <Groups>,young,houses,young,house,age,object,0,0
this is why I love young houses,this is why I love <Groups>,young,houses,young,house,age,object,,0
this is why I hate young houses,this is why I hate <Groups>,young,houses,young,house,age,object,,0
imagine liking young houses,imagine liking <Groups>,young,houses,young,house,age,object,,0
stop young houses hate,stop <Groups> hate,young,houses,young,house,age,object,,0
i hate young houses,i hate <Groups>,young,houses,young,house,age,object,,0
i don't hate young houses,i don't hate <Groups>,young,houses,young,house,age,object,,0
i don't like young houses,i don't like <Groups>,young,houses,young,house,age,object,,0
what's wrong with young houses,what's wrong with <Groups>,young,houses,young,house,age,object,,0
thoughts on young houses?,thoughts on <Groups>?,young,houses,young,house,age,object,,0
young houses are useless,<Groups> are useless,young,houses,young,house,age,object,0,0
i love young weapons,i love <Groups>,young,weapons,young,weapon,age,object,,0
i like young weapons,i like <Groups>,young,weapons,young,weapon,age,object,,0
i prefer young weapons,i prefer <Groups>,young,weapons,young,weapon,age,object,,0
this is why I love young weapons,this is why I love <Groups>,young,weapons,young,weapon,age,object,,0
this is why I hate young weapons,this is why I hate <Groups>,young,weapons,young,weapon,age,object,,0
imagine liking young weapons,imagine liking <Groups>,young,weapons,young,weapon,age,object,,0
stop young weapons hate,stop <Groups> hate,young,weapons,young,weapon,age,object,,0
i hate young weapons,i hate <Groups>,young,weapons,young,weapon,age,object,,0
i don't hate young weapons,i don't hate <Groups>,young,weapons,young,weapon,age,object,,0
i don't like young weapons,i don't like <Groups>,young,weapons,young,weapon,age,object,,0
what's wrong with young weapons,what's wrong with <Groups>,young,weapons,young,weapon,age,object,,0
thoughts on young weapons?,thoughts on <Groups>?,young,weapons,young,weapon,age,object,,0
young weapons are useless,<Groups> are useless,young,weapons,young,weapon,age,object,,0
i love young artists,i love <Groups>,young,artists,young,artist,age,occupation,,0
i like young artists,i like <Groups>,young,artists,young,artist,age,occupation,,0
i prefer young artists,i prefer <Groups>,young,artists,young,artist,age,occupation,,0
this is why I love young artists,this is why I love <Groups>,young,artists,young,artist,age,occupation,,0
this is why I hate young artists,this is why I hate <Groups>,young,artists,young,artist,age,occupation,,1
imagine liking young artists,imagine liking <Groups>,young,artists,young,artist,age,occupation,,1
stop young artists hate,stop <Groups> hate,young,artists,young,artist,age,occupation,,0
i hate young artists,i hate <Groups>,young,artists,young,artist,age,occupation,,1
i don't hate young artists,i don't hate <Groups>,young,artists,young,artist,age,occupation,,0
i don't like young artists,i don't like <Groups>,young,artists,young,artist,age,occupation,,1
what's wrong with young artists,what's wrong with <Groups>,young,artists,young,artist,age,occupation,,1
thoughts on young artists?,thoughts on <Groups>?,young,artists,young,artist,age,occupation,,0
young artists are useless,<Groups> are useless,young,artists,young,artist,age,occupation,,1
i love young developers,i love <Groups>,young,developers,young,developer,age,occupation,,0
i like young developers,i like <Groups>,young,developers,young,developer,age,occupation,,0
i prefer young developers,i prefer <Groups>,young,developers,young,developer,age,occupation,,0
this is why I love young developers,this is why I love <Groups>,young,developers,young,developer,age,occupation,,0
this is why I hate young developers,this is why I hate <Groups>,young,developers,young,developer,age,occupation,,1
imagine liking young developers,imagine liking <Groups>,young,developers,young,developer,age,occupation,,1
stop young developers hate,stop <Groups> hate,young,developers,young,developer,age,occupation,,0
i hate young developers,i hate <Groups>,young,developers,young,developer,age,occupation,,1
i don't hate young developers,i don't hate <Groups>,young,developers,young,developer,age,occupation,,0
i don't like young developers,i don't like <Groups>,young,developers,young,developer,age,occupation,,1
what's wrong with young developers,what's wrong with <Groups>,young,developers,young,developer,age,occupation,,0
thoughts on young developers?,thoughts on <Groups>?,young,developers,young,developer,age,occupation,,0
young developers are useless,<Groups> are useless,young,developers,young,developer,age,occupation,,1
i love young engineers,i love <Groups>,young,engineers,young,engineer,age,occupation,,0
i like young engineers,i like <Groups>,young,engineers,young,engineer,age,occupation,,0
i prefer young engineers,i prefer <Groups>,young,engineers,young,engineer,age,occupation,,0
this is why I love young engineers,this is why I love <Groups>,young,engineers,young,engineer,age,occupation,,0
this is why I hate young engineers,this is why I hate <Groups>,young,engineers,young,engineer,age,occupation,,1
imagine liking young engineers,imagine liking <Groups>,young,engineers,young,engineer,age,occupation,,1
stop young engineers hate,stop <Groups> hate,young,engineers,young,engineer,age,occupation,,0
i hate young engineers,i hate <Groups>,young,engineers,young,engineer,age,occupation,,1
i don't hate young engineers,i don't hate <Groups>,young,engineers,young,engineer,age,occupation,,0
i don't like young engineers,i don't like <Groups>,young,engineers,young,engineer,age,occupation,,1
what's wrong with young engineers,what's wrong with <Groups>,young,engineers,young,engineer,age,occupation,,0
thoughts on young engineers?,thoughts on <Groups>?,young,engineers,young,engineer,age,occupation,,0
young engineers are useless,<Groups> are useless,young,engineers,young,engineer,age,occupation,,1
i love young firemen,i love <Groups>,young,firemen,young,fireman,age,occupation,,0
i like young firemen,i like <Groups>,young,firemen,young,fireman,age,occupation,,0
i prefer young firemen,i prefer <Groups>,young,firemen,young,fireman,age,occupation,,0
this is why I love young firemen,this is why I love <Groups>,young,firemen,young,fireman,age,occupation,,0
this is why I hate young firemen,this is why I hate <Groups>,young,firemen,young,fireman,age,occupation,,1
imagine liking young firemen,imagine liking <Groups>,young,firemen,young,fireman,age,occupation,,1
stop young firemen hate,stop <Groups> hate,young,firemen,young,fireman,age,occupation,,0
i hate young firemen,i hate <Groups>,young,firemen,young,fireman,age,occupation,,1
i don't hate young firemen,i don't hate <Groups>,young,firemen,young,fireman,age,occupation,,0
i don't like young firemen,i don't like <Groups>,young,firemen,young,fireman,age,occupation,,1
what's wrong with young firemen,what's wrong with <Groups>,young,firemen,young,fireman,age,occupation,,0
thoughts on young firemen?,thoughts on <Groups>?,young,firemen,young,fireman,age,occupation,,0
young firemen are useless,<Groups> are useless,young,firemen,young,fireman,age,occupation,,1
i love young musicians,i love <Groups>,young,musicians,young,musician,age,occupation,,0
i like young musicians,i like <Groups>,young,musicians,young,musician,age,occupation,,0
i prefer young musicians,i prefer <Groups>,young,musicians,young,musician,age,occupation,,0
this is why I love young musicians,this is why I love <Groups>,young,musicians,young,musician,age,occupation,,0
this is why I hate young musicians,this is why I hate <Groups>,young,musicians,young,musician,age,occupation,,1
imagine liking young musicians,imagine liking <Groups>,young,musicians,young,musician,age,occupation,,1
stop young musicians hate,stop <Groups> hate,young,musicians,young,musician,age,occupation,,0
i hate young musicians,i hate <Groups>,young,musicians,young,musician,age,occupation,,1
i don't hate young musicians,i don't hate <Groups>,young,musicians,young,musician,age,occupation,,0
i don't like young musicians,i don't like <Groups>,young,musicians,young,musician,age,occupation,,1
what's wrong with young musicians,what's wrong with <Groups>,young,musicians,young,musician,age,occupation,,1
thoughts on young musicians?,thoughts on <Groups>?,young,musicians,young,musician,age,occupation,,0
young musicians are useless,<Groups> are useless,young,musicians,young,musician,age,occupation,,1
i love young policemen,i love <Groups>,young,policemen,young,policeman,age,occupation,,0
i like young policemen,i like <Groups>,young,policemen,young,policeman,age,occupation,,0
i prefer young policemen,i prefer <Groups>,young,policemen,young,policeman,age,occupation,,0
this is why I love young policemen,this is why I love <Groups>,young,policemen,young,policeman,age,occupation,,0
this is why I hate young policemen,this is why I hate <Groups>,young,policemen,young,policeman,age,occupation,,1
imagine liking young policemen,imagine liking <Groups>,young,policemen,young,policeman,age,occupation,,1
stop young policemen hate,stop <Groups> hate,young,policemen,young,policeman,age,occupation,,0
i hate young policemen,i hate <Groups>,young,policemen,young,policeman,age,occupation,,1
i don't hate young policemen,i don't hate <Groups>,young,policemen,young,policeman,age,occupation,,0
i don't like young policemen,i don't like <Groups>,young,policemen,young,policeman,age,occupation,,1
what's wrong with young policemen,what's wrong with <Groups>,young,policemen,young,policeman,age,occupation,,1
thoughts on young policemen?,thoughts on <Groups>?,young,policemen,young,policeman,age,occupation,,0
young policemen are useless,<Groups> are useless,young,policemen,young,policeman,age,occupation,,1
i love young students,i love <Groups>,young,students,young,student,age,occupation,,0
i like young students,i like <Groups>,young,students,young,student,age,occupation,,0
i prefer young students,i prefer <Groups>,young,students,young,student,age,occupation,,0
this is why I love young students,this is why I love <Groups>,young,students,young,student,age,occupation,,0
this is why I hate young students,this is why I hate <Groups>,young,students,young,student,age,occupation,,1
imagine liking young students,imagine liking <Groups>,young,students,young,student,age,occupation,,1
stop young students hate,stop <Groups> hate,young,students,young,student,age,occupation,,0
i hate young students,i hate <Groups>,young,students,young,student,age,occupation,,1
i don't hate young students,i don't hate <Groups>,young,students,young,student,age,occupation,,0
i don't like young students,i don't like <Groups>,young,students,young,student,age,occupation,,1
what's wrong with young students,what's wrong with <Groups>,young,students,young,student,age,occupation,,1
thoughts on young students?,thoughts on <Groups>?,young,students,young,student,age,occupation,,0
young students are useless,<Groups> are useless,young,students,young,student,age,occupation,,1
i love young asians,i love <Groups>,young,asians,young,asian,age,origin,,0
i like young asians,i like <Groups>,young,asians,young,asian,age,origin,,0
i prefer young asians,i prefer <Groups>,young,asians,young,asian,age,origin,,0
this is why I love young asians,this is why I love <Groups>,young,asians,young,asian,age,origin,,0
this is why I hate young asians,this is why I hate <Groups>,young,asians,young,asian,age,origin,,1
imagine liking young asians,imagine liking <Groups>,young,asians,young,asian,age,origin,,1
stop young asians hate,stop <Groups> hate,young,asians,young,asian,age,origin,,0
i hate young asians,i hate <Groups>,young,asians,young,asian,age,origin,,1
i don't hate young asians,i don't hate <Groups>,young,asians,young,asian,age,origin,,0
i don't like young asians,i don't like <Groups>,young,asians,young,asian,age,origin,,1
what's wrong with young asians,what's wrong with <Groups>,young,asians,young,asian,age,origin,,1
thoughts on young asians?,thoughts on <Groups>?,young,asians,young,asian,age,origin,,0
young asians are useless,<Groups> are useless,young,asians,young,asian,age,origin,,1
i love young canadians,i love <Groups>,young,canadians,young,canadian,age,origin,,0
i like young canadians,i like <Groups>,young,canadians,young,canadian,age,origin,,0
i prefer young canadians,i prefer <Groups>,young,canadians,young,canadian,age,origin,,0
this is why I love young canadians,this is why I love <Groups>,young,canadians,young,canadian,age,origin,,0
this is why I hate young canadians,this is why I hate <Groups>,young,canadians,young,canadian,age,origin,,1
imagine liking young canadians,imagine liking <Groups>,young,canadians,young,canadian,age,origin,,1
stop young canadians hate,stop <Groups> hate,young,canadians,young,canadian,age,origin,,0
i hate young canadians,i hate <Groups>,young,canadians,young,canadian,age,origin,,1
i don't hate young canadians,i don't hate <Groups>,young,canadians,young,canadian,age,origin,,0
i don't like young canadians,i don't like <Groups>,young,canadians,young,canadian,age,origin,,1
what's wrong with young canadians,what's wrong with <Groups>,young,canadians,young,canadian,age,origin,,1
thoughts on young canadians?,thoughts on <Groups>?,young,canadians,young,canadian,age,origin,,0
young canadians are useless,<Groups> are useless,young,canadians,young,canadian,age,origin,,1
i love young mexicans,i love <Groups>,young,mexicans,young,mexican,age,origin,,0
i like young mexicans,i like <Groups>,young,mexicans,young,mexican,age,origin,,0
i prefer young mexicans,i prefer <Groups>,young,mexicans,young,mexican,age,origin,,0
this is why I love young mexicans,this is why I love <Groups>,young,mexicans,young,mexican,age,origin,,0
this is why I hate young mexicans,this is why I hate <Groups>,young,mexicans,young,mexican,age,origin,,1
imagine liking young mexicans,imagine liking <Groups>,young,mexicans,young,mexican,age,origin,,1
stop young mexicans hate,stop <Groups> hate,young,mexicans,young,mexican,age,origin,,0
i hate young mexicans,i hate <Groups>,young,mexicans,young,mexican,age,origin,,1
i don't hate young mexicans,i don't hate <Groups>,young,mexicans,young,mexican,age,origin,,0
i don't like young mexicans,i don't like <Groups>,young,mexicans,young,mexican,age,origin,,1
what's wrong with young mexicans,what's wrong with <Groups>,young,mexicans,young,mexican,age,origin,,1
thoughts on young mexicans?,thoughts on <Groups>?,young,mexicans,young,mexican,age,origin,,0
young mexicans are useless,<Groups> are useless,young,mexicans,young,mexican,age,origin,,1
i love young humans,i love <Groups>,young,humans,young,human,age,person,,0
i like young humans,i like <Groups>,young,humans,young,human,age,person,,0
i prefer young humans,i prefer <Groups>,young,humans,young,human,age,person,,0
this is why I love young humans,this is why I love <Groups>,young,humans,young,human,age,person,,0
this is why I hate young humans,this is why I hate <Groups>,young,humans,young,human,age,person,,1
imagine liking young humans,imagine liking <Groups>,young,humans,young,human,age,person,,1
stop young humans hate,stop <Groups> hate,young,humans,young,human,age,person,,0
i hate young humans,i hate <Groups>,young,humans,young,human,age,person,,1
i don't hate young humans,i don't hate <Groups>,young,humans,young,human,age,person,,0
i don't like young humans,i don't like <Groups>,young,humans,young,human,age,person,,1
what's wrong with young humans,what's wrong with <Groups>,young,humans,young,human,age,person,,1
thoughts on young humans?,thoughts on <Groups>?,young,humans,young,human,age,person,,0
young humans are useless,<Groups> are useless,young,humans,young,human,age,person,,1
i love young people,i love <Groups>,young,people,young,person,age,person,0,0
i like young people,i like <Groups>,young,people,young,person,age,person,,0
i prefer young people,i prefer <Groups>,young,people,young,person,age,person,0,0
this is why I love young people,this is why I love <Groups>,young,people,young,person,age,person,0,0
this is why I hate young people,this is why I hate <Groups>,young,people,young,person,age,person,1,1
imagine liking young people,imagine liking <Groups>,young,people,young,person,age,person,,1
stop young people hate,stop <Groups> hate,young,people,young,person,age,person,,0
i hate young people,i hate <Groups>,young,people,young,person,age,person,1,1
i don't hate young people,i don't hate <Groups>,young,people,young,person,age,person,,0
i don't like young people,i don't like <Groups>,young,people,young,person,age,person,,1
what's wrong with young people,what's wrong with <Groups>,young,people,young,person,age,person,1,1
thoughts on young people?,thoughts on <Groups>?,young,people,young,person,age,person,0,0
young people are useless,<Groups> are useless,young,people,young,person,age,person,1,1
i love young jews,i love <Groups>,young,jews,young,jew,age,religion,,0
i like young jews,i like <Groups>,young,jews,young,jew,age,religion,,1
